Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of women in senior and middle management positions,Developed regions,276,Germany,2013,Female,-,-,-,27.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,276,Germany,2015,Female,-,-,-,28.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,276,Germany,2014,Female,-,-,-,27.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,276,Germany,2016,Female,-,-,-,28.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,276,Germany,2017,Female,-,-,-,28.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2003,Female,-,-,-,20.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2008,Female,-,-,-,26.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2000,Female,-,-,-,19.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2005,Female,-,-,-,23.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2007,Female,-,-,-,22.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2009,Female,-,-,-,27,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2010,Female,-,-,-,26.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2001,Female,-,-,-,18.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2004,Female,-,-,-,21.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2006,Female,-,-,-,22.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2011,Female,-,-,-,22,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2002,Female,-,-,-,15.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2012,Female,-,-,-,22.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2013,Female,-,-,-,25.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2015,Female,-,-,-,24.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2014,Female,-,-,-,27.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2016,Female,-,-,-,24.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,300,Greece,2017,Female,-,-,-,29.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2003,Female,-,-,-,37.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2008,Female,-,-,-,40.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2000,Female,-,-,-,34.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2005,Female,-,-,-,39.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2007,Female,-,-,-,39,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2009,Female,-,-,-,39.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2010,Female,-,-,-,40,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2001,Female,-,-,-,37.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2004,Female,-,-,-,36.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2006,Female,-,-,-,40.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2011,Female,-,-,-,38.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2002,Female,-,-,-,37.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2012,Female,-,-,-,36.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2013,Female,-,-,-,38.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2015,Female,-,-,-,39.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2014,Female,-,-,-,37.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2016,Female,-,-,-,37.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,348,Hungary,2017,Female,-,-,-,37.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2003,Female,-,-,-,40,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2008,Female,-,-,-,37,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2000,Female,-,-,-,30.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2005,Female,-,-,-,30,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2007,Female,-,-,-,33.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2009,Female,-,-,-,38.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2010,Female,-,-,-,37.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2001,Female,-,-,-,30.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2004,Female,-,-,-,38.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2006,Female,-,-,-,34,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2011,Female,-,-,-,39.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2002,Female,-,-,-,32.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2012,Female,-,-,-,38.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2013,Female,-,-,-,37.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2015,Female,-,-,-,39.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2014,Female,-,-,-,38.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2016,Female,-,-,-,34.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,352,Iceland,2017,Female,-,-,-,33,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2003,Female,-,-,-,40.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2008,Female,-,-,-,42.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2000,Female,-,-,-,35.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2005,Female,-,-,-,43.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2007,Female,-,-,-,40.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2009,Female,-,-,-,41.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2010,Female,-,-,-,40.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2001,Female,-,-,-,39.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2004,Female,-,-,-,39.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2006,Female,-,-,-,41.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2011,Female,-,-,-,30.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2002,Female,-,-,-,38.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2012,Female,-,-,-,30.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2013,Female,-,-,-,30.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2015,Female,-,-,-,29.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2014,Female,-,-,-,30.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2016,Female,-,-,-,31.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,372,Ireland,2017,Female,-,-,-,31.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2008,Female,-,-,-,21.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2005,Female,-,-,-,19.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),Break in series: Methodology revised,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2007,Female,-,-,-,22,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2009,Female,-,-,-,21.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2010,Female,-,-,-,21.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2004,Female,-,-,-,18.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),Break in series: Methodology revised,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2006,Female,-,-,-,21.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2011,Female,-,-,-,21.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),Break in series: Methodology revised,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2012,Female,-,-,-,22.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2013,Female,-,-,-,22,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2015,Female,-,-,-,21.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2014,Female,-,-,-,21.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2016,Female,-,-,-,22,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,380,Italy,2017,Female,-,-,-,22.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Unemployment definition: Two criteria (not in employment and seeking),-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2003,Female,-,-,-,45.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2008,Female,-,-,-,41.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2000,Female,-,-,-,37.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2005,Female,-,-,-,42,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2007,Female,-,-,-,42.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2009,Female,-,-,-,41.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2010,Female,-,-,-,39.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2001,Female,-,-,-,40,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2004,Female,-,-,-,42.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2006,Female,-,-,-,40.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2011,Female,-,-,-,44.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2002,Female,-,-,-,38.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2012,Female,-,-,-,44.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2013,Female,-,-,-,42.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2015,Female,-,-,-,44.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2014,Female,-,-,-,42.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2016,Female,-,-,-,46.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,428,Latvia,2017,Female,-,-,-,44.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2003,Female,-,-,-,41.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2008,Female,-,-,-,41.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2000,Female,-,-,-,42.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2005,Female,-,-,-,45,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2007,Female,-,-,-,40.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2009,Female,-,-,-,40.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2010,Female,-,-,-,42,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2001,Female,-,-,-,50,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2004,Female,-,-,-,46.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2006,Female,-,-,-,42.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2011,Female,-,-,-,36.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2002,Female,-,-,-,48.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2012,Female,-,-,-,35.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2013,Female,-,-,-,36.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2015,Female,-,-,-,38.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2014,Female,-,-,-,35.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2016,Female,-,-,-,38.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,440,Lithuania,2017,Female,-,-,-,37.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2003,Female,-,-,-,11.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2008,Female,-,-,-,15.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2000,Female,-,-,-,24.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2005,Female,-,-,-,9.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2007,Female,-,-,-,9.7,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2009,Female,-,-,-,15.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2010,Female,-,-,-,19.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2001,Female,-,-,-,11.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2004,Female,-,-,-,12.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2006,Female,-,-,-,21.2,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2011,Female,-,-,-,18.3,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2002,Female,-,-,-,15,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2012,Female,-,-,-,17,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2013,Female,-,-,-,14.6,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2015,Female,-,-,-,14,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2014,Female,-,-,-,17.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2016,Female,-,-,-,14.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,442,Luxembourg,2017,Female,-,-,-,16.1,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,470,Malta,2003,Female,-,-,-,16.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,470,Malta,2008,Female,-,-,-,15.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,470,Malta,2000,Female,-,-,-,17.5,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,470,Malta,2005,Female,-,-,-,19.8,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;Break in series: Methodology revised,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,470,Malta,2007,Female,-,-,-,18.4,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
Proportion of women in senior and middle management positions,Developed regions,470,Malta,2009,Female,-,-,-,21.9,-,-,Percentage,Country data,-,Repository: Eurostat special tabulation;,-,-,-,-,-,-
