Name,Industry,"Maternity Leave
Paid (weeks)","Maternity Leave
Unpaid (weeks)","Paternity Leave
Paid (weeks)","Paternity Leave
Unpaid (weeks)"
ClassPass,Wellness & Fitness,14,12,4,N/A
Equinox,Wellness & Fitness,6,12,N/A,N/A
Enterprise Holdings,Transportation: Rental,17,17,N/A,N/A
"Hertz Global Holdings, Inc.",Transportation: Rental,12,0,N/A,N/A
"Avis Budget Group, Inc.",Transportation: Rental,6,6,N/A,N/A
SalonCentric,Wholesale,14,0,N/A,N/A
Worldwide Produce,Wholesale,6,0,N/A,N/A
Larson-Juhl,Wholesale,5,2,2,0
Amtrak,Transportation: Rail,12,0,N/A,N/A
Union Pacific Railroad,Transportation: Rail,12,4,N/A,N/A
United Airlines,Transportation: Passenger Air,12,0,N/A,N/A
Southwest Airlines Co.,Transportation: Passenger Air,12,12,N/A,N/A
American Airlines,Transportation: Passenger Air,10.5,6,N/A,N/A
"Delta Air Lines, Inc.",Transportation: Passenger Air,6,16,N/A,N/A
HAVI Global Solutions,Transportation: Freight & Logistics,24,48,N/A,N/A
Dematic,Transportation: Freight & Logistics,6,6,N/A,N/A
Schneider National,Transportation: Freight & Logistics,0,N/A,N/A,N/A
C.A.R. Transport Inc.,Transportation: Freight & Logistics,0,12,N/A,N/A
FedEx,Transportation: Couriers & Delivery,50,50,N/A,N/A
Central Ohio Transit Authority,Transportation: Bus,10,12,N/A,N/A
BART,Transportation: Bus,6,14,N/A,N/A
Viasat,Telecommunications,14,0,6,N/A
Asurion,Telecommunications,12,8,N/A,N/A
Sprint Corporation,Telecommunications,12,0,N/A,4
Crown Castle International Corporation,Telecommunications,12,26,N/A,N/A
Qualcomm Incorporated,Telecommunications,12,12,N/A,N/A
"RingCentral, Inc.",Telecommunications,10,4,N/A,N/A
AT&T,Telecommunications,10,3,N/A,N/A
T-Mobile,Telecommunications,10,4,N/A,N/A
Verizon,Telecommunications,8,0,N/A,N/A
Comcast,Telecommunications,8,4,N/A,N/A
Zoom,Telecommunications,6,6,N/A,N/A
Spectrum,Telecommunications,8,12,N/A,N/A
Nokia,Telecommunications,4,6,N/A,N/A
Bitdefender,Technology: Software,52,N/A,N/A,N/A
Rangle.io,Technology: Software,52,N/A,N/A,N/A
JHC Systems,Technology: Software,52,N/A,N/A,N/A
"Zendesk, Inc",Technology: Software,52,N/A,N/A,N/A
Palantir,Technology: Software,30,38,N/A,N/A
Salesforce,Technology: Software,26,0,N/A,N/A
PandaDoc,Technology: Software,20,N/A,N/A,N/A
Bounce Exchange,Technology: Software,20,N/A,N/A,N/A
SAP,Technology: Software,12,12,N/A,N/A
ServiceNow,Technology: Software,20,N/A,12,N/A
VMware,Technology: Software,18,0,N/A,N/A
Slack Technologies,Technology: Software,18,N/A,12,N/A
Citrix,Technology: Software,18,0,N/A,N/A
MicroStrategy,Technology: Software,17,N/A,N/A,N/A
Adobe Systems,Technology: Software,17,15,N/A,N/A
Ceridian,Technology: Software,14,N/A,N/A,N/A
"Cornerstone OnDemand, Inc.",Technology: Software,14,N/A,6,12
Informatica,Technology: Software,16,0,N/A,N/A
Symphony Talent,Technology: Software,16,N/A,N/A,N/A
Addepar,Technology: Software,16,N/A,10,N/A
Palo Alto Networks,Technology: Security,16,23,N/A,N/A
Tanium,Technology: Security,20,0,8,N/A
Forcepoint,Technology: Security,12,6,N/A,N/A
Allegion PLC,Technology: Security,8,4,N/A,N/A
Coalfire,Technology: Security,10,6,N/A,N/A
Alarm.com,Technology: Security,6,0,N/A,N/A
Raytheon,Technology: Security,4,3,N/A,N/A
Magic Leap,Technology: Research,18,0,N/A,N/A
Waters Corporation,Technology: Research,1,11,N/A,N/A
Klarna,Technology: Payments,20,N/A,20,N/A
Pangea Money Transfer,Technology: Payments,12,0,N/A,N/A
Ingenico Group,Technology: Payments,12,40,N/A,N/A
Plastiq,Technology: Payments,12,6,N/A,N/A
MineralTree,Technology: Payments,12,0,N/A,N/A
Juniper Networks,Technology: Manufacturing,16,40,N/A,N/A
IBM,Technology: Manufacturing,12,0,12,N/A
Apple,Technology: Manufacturing,15,10.5,N/A,N/A
Cisco,Technology: Manufacturing,13,3,N/A,N/A
"Micron Technology, Inc.",Technology: Manufacturing,12,N/A,12,12
PlayStation,Technology: Manufacturing,12,N/A,N/A,N/A
Itron,Technology: Manufacturing,12,4,N/A,N/A
Texas Instruments,Technology: Manufacturing,12,N/A,4,N/A
Snap Inc.,Technology: Manufacturing,12,0,N/A,N/A
KLA-Tencor Corporation,Technology: Manufacturing,12,6,N/A,N/A
Advanced Micro Devices,Technology: Manufacturing,12,0,N/A,N/A
Analog Devices Inc,Technology: Manufacturing,11,1,N/A,N/A
Ericsson,Technology: Manufacturing,11,12,N/A,N/A
Intel Corporation,Technology: Manufacturing,8,12,N/A,N/A
Dell Technologies,Technology: Manufacturing,9,0,12,N/A
HP Inc.,Technology: Manufacturing,9,12,N/A,N/A
Audible,Technology: Manufacturing,8,12,N/A,N/A
Trimble,Technology: Manufacturing,6,6,N/A,N/A
Seagate Technology,Technology: Manufacturing,6,0,N/A,N/A
Western Digital Corporation,Technology: Manufacturing,4,4,N/A,N/A
Electronic Arts,Technology: Gaming,10,N/A,10,N/A
Casino Football,Technology: Gaming,6,4,N/A,N/A
Zwift,Technology: Gaming,4.5,3,N/A,N/A
Funding Circle,Technology: Financial Services,13,N/A,2,N/A
Kabbage,Technology: Financial Services,12,0,N/A,N/A
FIS Global,Technology: Financial Services,4.5,0,N/A,N/A
Personal Capital,Technology: Financial Services,2,0,6,N/A
"Airbnb, Inc.",Technology: Consumer Internet,30,8,N/A,N/A
Shopify,Technology: Consumer Internet,26,N/A,N/A,N/A
Dropbox,Technology: Consumer Internet,24,N/A,24,24
Rally Health,Technology: Consumer Internet,18,0,N/A,N/A
Facebook,Technology: Consumer Internet,19,0,N/A,N/A
Expedia,Technology: Consumer Internet,18,4,12,N/A
Google,Technology: Consumer Internet,14,7,N/A,N/A
Carsales,Technology: Consumer Internet,16,N/A,2,N/A
Postmates,Technology: Consumer Internet,16,N/A,16,N/A
Linkedin,Technology: Consumer Internet,16,4,N/A,N/A
Vistaprint,Technology: Consumer Internet,16,N/A,N/A,N/A
Uber,Technology: Consumer Internet,17,0,18,N/A
Indeed,Technology: Consumer Internet,16,0,N/A,N/A
Groupon,Technology: Consumer Internet,14,0,N/A,N/A
Birchbox,Technology: Consumer Internet,14,0,12,N/A
Squarespace,Technology: Consumer Internet,13,0,N/A,N/A
PayScale,Technology: Consumer Internet,12,0,N/A,N/A
Fairygodboss Inc.,Technology: Consumer Internet,12,N/A,N/A,N/A
Soofa,Technology: Consumer Internet,12,N/A,N/A,N/A
PureWow,Technology: Consumer Internet,12,0,N/A,N/A
Luxoft,Technology: B2B Tech Services,28,28,N/A,N/A
Tata Consultancy Services,Technology: B2B Tech Services,26,N/A,N/A,N/A
Hewlett Packard Enterprise,Technology: B2B Tech Services,19,29,26,N/A
Akamai,Technology: B2B Tech Services,16,N/A,N/A,N/A
"Datto, Inc.",Technology: B2B Tech Services,16,0,N/A,N/A
CDK Global,Technology: B2B Tech Services,16,39,N/A,N/A
"Amazon Web Services, Inc.",Technology: B2B Tech Services,14,12,N/A,N/A
Cerner Corporation,Technology: B2B Tech Services,12,N/A,4,N/A
Criteo,Technology: B2B Tech Services,12,12,N/A,N/A
Athenahealth,Technology: B2B Tech Services,12,0,6,N/A
MediaMath,Technology: B2B Tech Services,10,0,N/A,N/A
Avaya,Technology: B2B Tech Services,8,2,N/A,N/A
Cognizant,Technology: B2B Tech Services,8,2,N/A,N/A
Teradata,Technology: B2B Tech Services,8,0,N/A,N/A
Omada,Technology: B2B Tech Services,8,12,N/A,N/A
"Equinix, Inc.",Technology: B2B Tech Services,8,8,8,N/A
Optoro,Technology: B2B Tech Services,6,6,N/A,N/A
CDW Corporation,Technology: B2B Tech Services,6,4,2,N/A
Iron Mountain,Technology: B2B Tech Services,5,9,N/A,N/A
Bitovi,Technology: B2B Tech Services,4,0,N/A,N/A
NASCAR,Sports,8,4,N/A,N/A
"Clean Harbors, Inc.",Services: Waste Management,0,12,N/A,N/A
Ubiqus,Services: Translation,1,2,N/A,N/A
Five Star Quality Care Inc.,Services: Senior Living,N/A,N/A,N/A,N/A
EasyWayPaper,Services: Other,30,5,N/A,N/A
Essay 4 Students,Services: Other,25,5,N/A,N/A
International SOS,Services: Other,16,0,N/A,N/A
"Rollins, Inc.",Services: Other,12,0,N/A,N/A
Scholastic Book Fairs,Services: Other,4,4,N/A,N/A
Uno Assignment Help,Services: Other,4,6,N/A,N/A
Sample Assignment,Services: Other,2,2,N/A,N/A
Southern Alabama Regional Council On Aging,Services: Family Care,N/A,N/A,N/A,N/A
CozyKin,Services: Daycare,6,6,N/A,N/A
ISSA,Services: Cleaning,12,0,N/A,N/A
Lowes Foods,Retail: Supermarket Company,15,15,N/A,N/A
Woolworths Supermarkets,Retail: Supermarket Company,12,N/A,N/A,N/A
Walmart,Retail: Supermarket Company,12,4,6,N/A
The Kroger Company,Retail: Supermarket Company,8,4,N/A,N/A
Hy-Vee,Retail: Supermarket Company,8,4,N/A,N/A
Meijer,Retail: Supermarket Company,4,0,N/A,N/A
Save-A-Lot,Retail: Supermarket Company,0,N/A,0,0
Food Lion,Retail: Supermarket Company,0,N/A,N/A,N/A
Meredith Digital,Retail: Stationary & Office Supplies,12,0,N/A,N/A
Staples,Retail: Stationary & Office Supplies,6,6,N/A,N/A
Bombas,"Retail: Shoes, Accessories and Apparel",16,0,N/A,N/A
"L Brands, Inc.","Retail: Shoes, Accessories and Apparel",14,0,6,6
Adidas,"Retail: Shoes, Accessories and Apparel",12,N/A,N/A,22
Wolverine Worldwide,"Retail: Shoes, Accessories and Apparel",12,12,N/A,N/A
Trunk Club,"Retail: Shoes, Accessories and Apparel",12,0,N/A,N/A
DSW,"Retail: Shoes, Accessories and Apparel",11,0,N/A,N/A
DICK'S Sporting Goods,"Retail: Shoes, Accessories and Apparel",10,4,N/A,N/A
Abercrombie & Fitch,"Retail: Shoes, Accessories and Apparel",8,0,N/A,N/A
VF Corporation,"Retail: Shoes, Accessories and Apparel",8,12,N/A,N/A
Target,"Retail: Shoes, Accessories and Apparel",6,11,N/A,N/A
Zumiez,"Retail: Shoes, Accessories and Apparel",6,N/A,2,N/A
Evisons,"Retail: Shoes, Accessories and Apparel",6,0,N/A,N/A
Haggar,"Retail: Shoes, Accessories and Apparel",6,24,N/A,N/A
ANN Inc.,"Retail: Shoes, Accessories and Apparel",6,6,N/A,N/A
Columbia Sportswear,"Retail: Shoes, Accessories and Apparel",4,8,4,N/A
Victoria's Secret,"Retail: Shoes, Accessories and Apparel",4,8,N/A,N/A
J.Crew,"Retail: Shoes, Accessories and Apparel",3,6,N/A,N/A
Fossil,"Retail: Shoes, Accessories and Apparel",0,6,N/A,N/A
Uniqlo,"Retail: Shoes, Accessories and Apparel",0,0,N/A,N/A
Uncommon Goods,Retail: Other,12,0,N/A,N/A
Guitar Center,Retail: Other,12,0,N/A,N/A
Marshall Retail Group,Retail: Other,9,0,N/A,N/A
"Ulta Beauty, Inc.",Retail: Other,6,9,N/A,N/A
Academy Sports + Outdoors,Retail: Other,6,1,N/A,N/A
Instacart,Retail: Online,18,12,12,N/A
Zola,Retail: Online,12,4,N/A,N/A
Overstock.com,Retail: Online,4,N/A,4,N/A
Tiffany & Co,Retail: Jewelery,6,0,N/A,N/A
Signet Jewelers Ltd.,Retail: Jewelery,6,6,N/A,N/A
Tesco PLC,Retail: General Merchandise,28,24,N/A,N/A
Lowe's Companies,Retail: General Merchandise,12,0,N/A,N/A
Costco Wholesale,Retail: General Merchandise,12,6,N/A,N/A
One Kings Lane,Retail: Furniture & Home Improvement,20,0,N/A,N/A
Wayfair,Retail: Furniture & Home Improvement,14,2,6,N/A
Central Garden & Pet,Retail: Furniture & Home Improvement,6,6,N/A,N/A
The Home Depot,Retail: Furniture & Home Improvement,6,6,N/A,N/A
Crutchfield,Retail: Electronics,2,20,N/A,N/A
BJs Wholesale Club,Retail: Discount Store,10,2,N/A,N/A
"Family Dollar Stores, Inc.",Retail: Discount Store,9,0,N/A,N/A
Dollar General,Retail: Discount Store,8,0,N/A,N/A
Aldi US,Retail: Discount Store,6,6,N/A,N/A
"Ross Stores, Inc.",Retail: Discount Store,6,6,N/A,N/A
Macy's,Retail: Department Store,11.5,6,N/A,N/A
Michaels,"Retail: Crafts, Fabrics & Party Supplies",8,0,N/A,N/A
Love's,Retail: Convenience Store,8,6,N/A,N/A
Trader Joe’s,Retail: Convenience Store,0,N/A,N/A,N/A
"Carter's, Inc.",Retail: Baby products,8,0,N/A,N/A
Bidwells LLP,Real Estate: Other,12,40,N/A,N/A
Cozy,Real Estate: Other,2,0,N/A,N/A
Aimco,Real Estate: Investment Trust,16,0,N/A,N/A
Cushman & Wakefield,Real Estate: Development & Management,12,N/A,6,6
TF Cornerstone,Real Estate: Development & Management,12,0,N/A,N/A
CBRE,Real Estate: Development & Management,6,1,N/A,N/A
Jones Lang LaSalle,Real Estate: Development & Management,5,12,N/A,N/A
Banner Real Estate Group,Real Estate: Development & Management,4,8,N/A,N/A
Redfin,Real Estate: Brokers,16,N/A,N/A,N/A
Compass Real Estate,Real Estate: Brokers,16,0,N/A,N/A
Square Yards,Real Estate: Brokers,12,13,N/A,N/A
Mcgraw-Hill Education,Publishing,16,1,N/A,N/A
American City Business Journals,Publishing,12,0,N/A,N/A
Pearson Education,Publishing,8.5,8,N/A,N/A
W.W. Norton & Company,Publishing,8,24,N/A,N/A
Penguin Random House,Publishing,7,0,N/A,N/A
Wiley Publishing,Publishing,6,6,N/A,N/A
Edelman,Public Relations,12,0,N/A,N/A
Golin,Public Relations,8,27,N/A,N/A
